Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Mint,BUY,26042.0,26803.51,25649.92,1:1.94,2.92%,STRONG BULLISH,Moving Average Crossover | Trend Change,25966,26899,UPSIDE: 199 points,FII flows remain positive | Foreign buying continues,25966 - 26899,25966.0,26899.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Mint,SELL,26130.4,25250.04,26401.45,1:3.25,3.37%,BULLISH,Bullish Engulfing | Support at 26000,25812,26823,DOWNSIDE: 91 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25812 - 26823,25812.0,26823.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Mint,SELL,25967.8,24959.79,26466.99,1:2.02,3.88%,NEUTRAL,Triangle Breakout | Directional Move,25908,26883,DOWNSIDE: 110 points,Telecom strength | Bharti Airtel gains on tariff hikes,25908 - 26883,25908.0,26883.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Mint,BUY,25783.2,26790.64,25480.23,1:3.33,3.91%,STRONG BULLISH,Triangle Breakout | Directional Move,25816,26973,UPSIDE: 55 points,DII support strong | Domestic funds accumulating,25816 - 26973,25816.0,26973.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Mint,BUY,25996.6,26936.03,25685.47,1:3.02,3.61%,NEUTRAL,Breakout above 26500 | Momentum Building,25809,26876,UPSIDE: 193 points,Cement stocks stable | UltraTech holding ground,25809 - 26876,25809.0,26876.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Mint,BUY,26386.0,27049.77,26013.61,1:1.78,2.52%,STRONG BULLISH,Moving Average Crossover | Trend Change,25996,26820,UPSIDE: 114 points,Telecom strength | Bharti Airtel gains on tariff hikes,25996 - 26820,25996.0,26820.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Mint,BUY,26270.4,27199.52,25985.01,1:3.26,3.54%,BULLISH,Higher High-Higher Low | Bull Run Continues,25922,26971,UPSIDE: 163 points,"Realty sector gaining traction | DLF, Oberoi up",25922 - 26971,25922.0,26971.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Mint,BUY,26499.8,27724.28,26180.29,1:3.83,4.62%,NEUTRAL,Support Breach | Watch 25800,25909,26961,UPSIDE: 163 points,DII support strong | Domestic funds accumulating,25909 - 26961,25909.0,26961.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Mint,BUY,26193.2,26734.99,25891.96,1:1.8,2.07%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25991,26910,UPSIDE: 105 points,Energy stocks leading | Oil majors positive on crude rally,25991 - 26910,25991.0,26910.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Mint,BUY,25736.6,26473.38,25363.45,1:1.97,2.86%,BULLISH,Breakout above 26500 | Momentum Building,25876,26801,UPSIDE: 103 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25876 - 26801,25876.0,26801.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Mint,SELL,26247.0,25460.6,26692.02,1:1.77,3.0%,NEUTRAL,Double Bottom | Reversal Expected,25857,26861,DOWNSIDE: 179 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25857 - 26861,25857.0,26861.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Mint,SELL,25991.4,25087.6,26497.28,1:1.79,3.48%,NEUTRAL,Double Bottom | Reversal Expected,25959,26800,DOWNSIDE: 168 points,Energy stocks leading | Oil majors positive on crude rally,25959 - 26800,25959.0,26800.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,Mint,BUY,26500.8,27493.67,26102.6,1:2.49,3.75%,MODERATELY BULLISH,Bullish Engulfing | Support at 26000,25998,26989,UPSIDE: 198 points,Q3 earnings season | Corporate profits robust,25998 - 26989,25998.0,26989.0,24584.8,24624.1,24303.45,24336.0,BREACHED_BELOW
