Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Bloomberg,BUY,25857.0,26642.93,25580.28,1:2.84,3.04%,NEUTRAL/BULLISH,Head & Shoulders | Downside Risk,25965,26896,UPSIDE: 157 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25965 - 26896,25965.0,26896.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26257.4,25618.94,26724.37,1:1.37,2.43%,NEUTRAL/BULLISH,Triangle Breakout | Directional Move,25984,26863,DOWNSIDE: 80 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25984 - 26863,25984.0,26863.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26070.8,25201.49,26526.21,1:1.91,3.33%,NEUTRAL,Triangle Breakout | Directional Move,25915,26930,DOWNSIDE: 182 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25915 - 26930,25915.0,26930.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25642.2,26571.35,25287.3,1:2.62,3.62%,STRONG BULLISH,Golden Cross | Resistance at 27000,25814,26926,UPSIDE: 178 points,"Metals weakness | Tata Steel, JSW Steel under pressure",25814 - 26926,25814.0,26926.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26137.6,25575.81,26454.41,1:1.77,2.15%,NEUTRAL,Bollinger Bands Squeeze | Volatility Expected,25962,26919,DOWNSIDE: 129 points,"FMCG holding support | ITC, HUL steady amid volatility",25962 - 26919,25962.0,26919.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26443.0,25482.03,26942.76,1:1.92,3.63%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25884,26901,DOWNSIDE: 96 points,Cement stocks stable | UltraTech holding ground,25884 - 26901,25884.0,26901.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,25864.4,25080.33,26135.57,1:2.89,3.03%,BULLISH,Bearish Divergence | Profit Taking,25905,26954,DOWNSIDE: 92 points,Q3 earnings season | Corporate profits robust,25905 - 26954,25905.0,26954.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25797.8,26357.6,25348.21,1:1.25,2.17%,BULLISH,Double Bottom | Reversal Expected,25979,26816,UPSIDE: 52 points,Cement stocks stable | UltraTech holding ground,25979 - 26816,25979.0,26816.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,25582.2,25068.68,25999.36,1:1.23,2.01%,BULLISH,Support Breach | Watch 25800,25883,26969,DOWNSIDE: 165 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25883 - 26969,25883.0,26969.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26152.6,27095.72,25758.02,1:2.39,3.61%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25911,26956,UPSIDE: 124 points,"FMCG holding support | ITC, HUL steady amid volatility",25911 - 26956,25911.0,26956.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26071.0,25436.43,26584.32,1:1.24,2.43%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25822,26816,DOWNSIDE: 100 points,FII flows remain positive | Foreign buying continues,25822 - 26816,25822.0,26816.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,25958.4,24773.31,26251.27,1:4.05,4.57%,BULLISH,Higher High-Higher Low | Bull Run Continues,25808,26910,DOWNSIDE: 92 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25808 - 26910,25808.0,26910.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
2024-12-17,Tuesday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26068.8,25149.82,26391.2,1:2.85,3.53%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25800,26882,DOWNSIDE: 112 points,FII flows remain positive | Foreign buying continues,25800 - 26882,25800.0,26882.0,24584.8,24624.1,24303.45,24336.0,BREACHED_BELOW
2024-12-18,Wednesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25753.2,26496.17,25278.14,1:1.56,2.88%,MODERATELY BULLISH,Bearish Divergence | Profit Taking,25818,26855,UPSIDE: 110 points,Q3 earnings season | Corporate profits robust,25818 - 26855,25818.0,26855.0,24297.95,24394.45,24149.85,24198.85,BREACHED_BELOW
2024-12-19,Thursday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26497.6,27383.48,25973.92,1:1.69,3.34%,NEUTRAL,Double Bottom | Reversal Expected,25966,26904,UPSIDE: 175 points,Cement stocks stable | UltraTech holding ground,25966 - 26904,25966.0,26904.0,23877.15,24004.9,23870.3,23951.7,BREACHED_BELOW
2024-12-20,Friday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26147.0,26961.43,25826.14,1:2.54,3.11%,STRONG BULLISH,Moving Average Crossover | Trend Change,25812,26801,UPSIDE: 108 points,Cement stocks stable | UltraTech holding ground,25812 - 26801,25812.0,26801.0,23960.7,24065.8,23537.35,23587.5,BREACHED_BELOW
2024-12-23,Monday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,25661.4,26614.82,25273.09,1:2.46,3.72%,STRONG BULLISH,Bullish Engulfing | Support at 26000,25810,26953,UPSIDE: 159 points,"FMCG holding support | ITC, HUL steady amid volatility",25810 - 26953,25810.0,26953.0,23738.2,23869.55,23647.2,23753.45,BREACHED_BELOW
2024-12-24,Tuesday,December,9:00 AM - MARKET OPEN,Bloomberg,BUY,26540.8,27106.89,26206.5,1:1.69,2.13%,STRONG BULLISH,Moving Average Crossover | Trend Change,25869,26997,UPSIDE: 104 points,"Realty sector gaining traction | DLF, Oberoi up",25869 - 26997,25869.0,26997.0,23769.1,23867.65,23685.15,23727.65,BREACHED_BELOW
2024-12-26,Thursday,December,9:00 AM - MARKET OPEN,Bloomberg,SELL,26406.2,25327.86,26764.33,1:3.01,4.08%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25993,26850,DOWNSIDE: 174 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25993 - 26850,25993.0,26850.0,23775.8,23854.5,23653.6,23750.2,BREACHED_BELOW
