Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,NDTV Profit,BUY,26001.0,26845.67,25655.7,1:2.45,3.25%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25839,26864,UPSIDE: 57 points,FII flows remain positive | Foreign buying continues,25839 - 26864,25839.0,26864.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,26009.4,25425.22,26302.27,1:1.99,2.25%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25978,26852,DOWNSIDE: 54 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25978 - 26852,25978.0,26852.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,26400.8,25684.48,26864.16,1:1.55,2.71%,NEUTRAL,Double Bottom | Reversal Expected,25865,26817,DOWNSIDE: 189 points,"FMCG holding support | ITC, HUL steady amid volatility",25865 - 26817,25865.0,26817.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,25591.2,25022.35,25932.78,1:1.67,2.22%,BULLISH,Support Breach | Watch 25800,25831,26858,DOWNSIDE: 181 points,DII support strong | Domestic funds accumulating,25831 - 26858,25831.0,26858.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,26024.6,25481.33,26463.09,1:1.24,2.09%,BULLISH,Triangle Breakout | Directional Move,25866,26885,DOWNSIDE: 178 points,"Realty sector gaining traction | DLF, Oberoi up",25866 - 26885,25866.0,26885.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,26522.0,25556.83,26904.77,1:2.52,3.64%,NEUTRAL/BULLISH,Higher High-Higher Low | Bull Run Continues,25876,26804,DOWNSIDE: 63 points,Energy stocks leading | Oil majors positive on crude rally,25876 - 26804,25876.0,26804.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,25977.4,24845.77,26440.85,1:2.44,4.36%,BULLISH,Higher High-Higher Low | Bull Run Continues,25871,26900,DOWNSIDE: 139 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25871 - 26900,25871.0,26900.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,NDTV Profit,BUY,26527.8,27600.06,26080.51,1:2.4,4.04%,BULLISH,Double Bottom | Reversal Expected,25949,27000,UPSIDE: 55 points,"Infrastructure boom | Larsen & Toubro, L&T Infotech gains",25949 - 27000,25949.0,27000.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,NDTV Profit,BUY,25974.2,26508.53,25477.5,1:1.08,2.06%,NEUTRAL/BULLISH,Bullish Engulfing | Support at 26000,25830,26825,UPSIDE: 73 points,"Chemical sector focus | Atul, Bayer gains on exports",25830 - 26825,25830.0,26825.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,NDTV Profit,SELL,25977.6,24880.85,26325.2,1:3.16,4.22%,NEUTRAL/BULLISH,Bearish Divergence | Profit Taking,25855,26926,DOWNSIDE: 193 points,Q3 earnings season | Corporate profits robust,25855 - 26926,25855.0,26926.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
