Date,Day_of_Week,Month,Time,Source,Action,Entry_Price,Target_Price,Stop_Loss,Risk_Reward_Ratio,Profit_Target_Percentage,Market_Sentiment,Technical_Pattern,Support_Level,Resistance_Level,Expected_Movement,Sector_Insight,Nifty_Range,Support,Resistance,Open,High,Low,Close,Range_Flag
2024-11-29,Friday,November,9:00 AM - MARKET OPEN,Money Control,BUY,26097.0,26683.02,25691.87,1:1.45,2.25%,BULLISH,Moving Average Crossover | Trend Change,25854,26967,UPSIDE: 79 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25854 - 26967,25854.0,26967.0,23927.15,24188.45,23927.15,24131.1,BREACHED_BELOW
2024-12-02,Monday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26065.4,27187.74,25661.3,1:2.78,4.31%,STRONG BULLISH,Breakout above 26500 | Momentum Building,25904,26886,UPSIDE: 75 points,FII flows remain positive | Foreign buying continues,25904 - 26886,25904.0,26886.0,24140.85,24301.7,24008.65,24276.05,BREACHED_BELOW
2024-12-03,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25826.8,25212.97,26248.34,1:1.46,2.38%,NEUTRAL/BEARISH,Support Breach | Watch 25800,25874,26841,DOWNSIDE: 84 points,"Auto sector rally on festival demand | Maruti, Bajaj strong",25874 - 26841,25874.0,26841.0,24367.5,24481.35,24280.0,24457.15,BREACHED_BELOW
2024-12-04,Wednesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,25973.2,26823.4,25481.88,1:1.73,3.27%,MODERATELY BULLISH,Breakout above 26500 | Momentum Building,25877,26838,UPSIDE: 53 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25877 - 26838,25877.0,26838.0,24488.75,24573.2,24366.3,24467.45,BREACHED_BELOW
2024-12-05,Thursday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26134.6,24920.81,26426.76,1:4.15,4.64%,STRONG BULLISH,Triangle Breakout | Directional Move,25869,26850,DOWNSIDE: 119 points,"FMCG holding support | ITC, HUL steady amid volatility",25869 - 26850,25869.0,26850.0,24539.15,24857.75,24295.55,24708.4,BREACHED_BELOW
2024-12-06,Friday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26291.0,25558.85,26619.86,1:2.23,2.78%,MODERATELY BULLISH,Higher High-Higher Low | Bull Run Continues,25872,26803,DOWNSIDE: 196 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25872 - 26803,25872.0,26803.0,24729.45,24751.05,24620.5,24677.8,BREACHED_BELOW
2024-12-09,Monday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25805.4,24680.53,26320.37,1:2.18,4.36%,MODERATELY BULLISH,Head & Shoulders | Downside Risk,25857,26934,DOWNSIDE: 175 points,FII flows remain positive | Foreign buying continues,25857 - 26934,25857.0,26934.0,24633.9,24705.0,24580.05,24619.0,BREACHED_BELOW
2024-12-10,Tuesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26512.8,27127.32,26037.08,1:1.29,2.32%,NEUTRAL/BEARISH,Bearish Divergence | Profit Taking,25956,26986,UPSIDE: 60 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25956 - 26986,25956.0,26986.0,24652.65,24677.8,24510.65,24610.05,BREACHED_BELOW
2024-12-11,Wednesday,December,9:00 AM - MARKET OPEN,Money Control,BUY,25756.2,26483.62,25479.53,1:2.63,2.82%,NEUTRAL/BULLISH,Golden Cross | Resistance at 27000,25927,26869,UPSIDE: 59 points,"Pharma rotation | Dr Reddy, Sun Pharma outperformers",25927 - 26869,25927.0,26869.0,24620.5,24691.75,24583.85,24641.8,BREACHED_BELOW
2024-12-12,Thursday,December,9:00 AM - MARKET OPEN,Money Control,BUY,26131.6,26733.26,25663.25,1:1.28,2.3%,NEUTRAL,Bullish Engulfing | Support at 26000,25884,26834,UPSIDE: 193 points,"Chemical sector focus | Atul, Bayer gains on exports",25884 - 26834,25884.0,26834.0,24604.45,24675.25,24527.95,24548.7,BREACHED_BELOW
2024-12-13,Friday,December,9:00 AM - MARKET OPEN,Money Control,SELL,25673.0,24739.15,26039.84,1:2.55,3.64%,NEUTRAL,Bullish Engulfing | Support at 26000,25842,26979,DOWNSIDE: 157 points,"Banking stocks driving rally | HDFC Bank, ICICI Bank, Axis Bank gains",25842 - 26979,25842.0,26979.0,24498.35,24792.3,24180.8,24768.3,BREACHED_BELOW
2024-12-16,Monday,December,9:00 AM - MARKET OPEN,Money Control,SELL,26086.4,24792.39,26545.28,1:2.82,4.96%,NEUTRAL/BULLISH,RSI Overbought | Consolidation Zone,25864,26999,DOWNSIDE: 79 points,"IT sector weakness capping gains | TCS, Infosys selling pressure",25864 - 26999,25864.0,26999.0,24753.4,24781.25,24601.75,24668.25,BREACHED_BELOW
